# ang_deg abs(r)**2 abs(t)**2 r.real r.imag t.real t.imag
0.1 0.9353950898809753 2.304219325953295e-190 -0.7708427909359609 -0.5841202629108444 -1.6829869904144787e-96 -1.5086069315279747e-95
0.10019 0.9352630781232346 2.53820654110634e-190 -0.7700422768000805 -0.5850623642516948 -1.7154395677226373e-96 -1.5839126276412015e-95
0.10038000000000001 0.9351310006187086 2.796482808042505e-190 -0.7692404252591319 -0.5860035569566608 -1.747011881740654e-96 -1.6631182468162253e-95
0.10057 0.9349988571536554 3.0816226950917374e-190 -0.7684372366524835 -0.5869438392892036 -1.7775232596785754e-96 -1.746432594091382e-95
0.10076 0.9348666475064771 3.396479178285994e-190 -0.7676327112753155 -0.5878832095634177 -1.8067757862393325e-96 -1.834076004659727e-95
0.10095000000000001 0.9347343714639151 3.7442142876457324e-190 -0.7668268494770647 -0.5888216660288531 -1.834552909115714e-96 -1.926280987779894e-95
0.10114000000000001 0.9346020288033985 4.1283332757855556e-190 -0.7660196515540564 -0.5897592069958726 -1.8606179469429838e-96 -2.0232929309273764e-95
0.10133 0.9344696193106683 4.552722534913555e-190 -0.7652111178568509 -0.5906958307106434 -1.8847124766438577e-96 -2.1253708202846357e-95
0.10152 0.9343371427636321 5.021691882963324e-190 -0.7644012486918645 -0.5916315354694595 -1.9065546064258562e-96 -2.2327880280695e-95
0.10171000000000001 0.9342045989440936 5.540021535036079e-190 -0.7635900443929099 -0.5925663195357356 -1.9258371131113216e-96 -2.345833124749864e-95
0.1019 0.9340719876318868 6.113014442973313e-190 -0.7627775052854345 -0.5935001811814514 -1.9422254430411654e-96 -2.4648107526253102e-95
0.10209 0.9339393086034313 6.746554552018021e-190 -0.7619636316775973 -0.5944331186972327 -1.9553555617767436e-96 -2.5900425475826278e-95
0.10228000000000001 0.9338065616433775 7.447171599035793e-190 -0.7611484239317376 -0.5953651303104752 -1.9648316417095423e-96 -2.721868102100681e-95
0.10247 0.93367374652422 8.222113439635177e-190 -0.7603318823393164 -0.59629621432856 -1.9702235796336476e-96 -2.8606460162169195e-95
0.10266 0.933540863026674 9.079426394519716e-190 -0.7595140072459684 -0.5972263689957479 -1.971064325357513e-96 -3.006754969859158e-95
0.10285000000000001 0.9334079109265817 1.0028044946343787e-189 -0.7586947989711285 -0.5981555925850236 -1.9668470135328984e-96 -3.160594892515862e-95
0.10304 0.9332748900036115 1.1077891549998115e-189 -0.757874257861592 -0.5990838833371773 -1.9570218808905477e-96 -3.322588178449937e-95
0.10323 0.9331418000296856 1.223998802070337e-189 -0.7570523842201304 -0.6000112395416451 -1.940992953338385e-96 -3.493180997923566e-95
0.10342000000000001 0.9330086407863148 1.3526579452125214e-189 -0.7562291784125597 -0.6009376594155004 -1.9181144890790086e-96 -3.672844649613303e-95
0.10361000000000001 0.9328754120415027 1.4951272739928237e-189 -0.7554046407250103 -0.6018631412643748 -1.8876871525840453e-96 -3.8620770463661035e-95
0.1038 0.9327421135785817 1.6529190525185368e-189 -0.754578771542312 -0.602787683281831 -1.8489539135247879e-96 -4.061404217686536e-95
0.10399 0.9326087451645161 1.827714354629861e-189 -0.7537515711518086 -0.603711283769565 -1.8010956285144227e-96 -4.271381988498344e-95
0.10418000000000001 0.9324753065743816 2.0213822246607803e-189 -0.7529230398949485 -0.6046339409673688 -1.7432263093348251e-96 -4.492597674725863e-95
0.10437 0.9323417975827191 2.236001093717694e-189 -0.7520931781137777 -0.605555653113268 -1.6743880330137174e-96 -4.725671929400722e-95
0.10456 0.932208217963523 2.4738826680723955e-189 -0.7512619861509423 -0.6064764184435075 -1.5935454771499418e-96 -4.9712606860681226e-95
0.10475000000000001 0.9320745674859617 2.737598599998376e-189 -0.7504294643229728 -0.6073962352220319 -1.4995800482698334e-96 -5.2300572269117733e-95
0.10494 0.9319408459201042 3.0300102423955174e-189 -0.7495956129559322 -0.6083151017008572 -1.3912835825788601e-96 -5.5027943559507694e-95
0.10513 0.931807053041187 3.354301867805449e-189 -0.7487604324121075 -0.6092330160909049 -1.2673515836287338e-96 -5.790246702662092e-95
0.10532000000000001 0.9316731886210352 3.714017795112069e-189 -0.7479239230365818 -0.6101499766209981 -1.1263759500187793e-96 -6.093233191279724e-95
0.10551 0.9315392524209729 4.113103863844727e-189 -0.7470860851127721 -0.6110659815861498 -9.668371628447325e-97 -6.412619659503649e-95
0.1057 0.9314052442188514 4.555953660610776e-189 -0.7462469190314993 -0.6119810291625438 -7.870959395898176e-97 -6.749321551528462e-95
0.10589000000000001 0.9312711637805869 5.047460336934328e-189 -0.7454064251130184 -0.6128951176023653 -5.853842082495945e-97 -7.104306906562427e-95
0.10608000000000001 0.9311370108715583 5.593074399871371e-189 -0.7445646036782269 -0.6138082451556376 -3.597954622502032e-97 -7.478599432445032e-95
