# ang_deg abs(r)**2 abs(t)**2 r.real r.imag t.real t.imag
0.2254 0.815464 1.25209e-139 0.0143795 -0.902916 -3.53848e-70 -7.68069e-73 
0.2273 0.812575 2.21721e-138 0.0298172 -0.900936 -1.46988e-69 -2.38016e-70 
0.2292 0.809619 4.12474e-137 0.0453235 -0.898646 -6.08712e-69 -2.04799e-69 
0.2311 0.806593 8.07184e-136 0.0608949 -0.896038 -2.50068e-68 -1.3485e-68 
0.233 0.803491 1.66393e-134 0.0765278 -0.893104 -1.01034e-67 -8.01964e-68 
0.2349 0.800312 3.61831e-133 0.0922185 -0.889836 -3.95154e-67 -4.53524e-67 
0.2368 0.797049 8.31271e-132 0.107963 -0.886224 -1.44847e-66 -2.49292e-66 
0.2387 0.7937 2.02081e-130 0.123757 -0.882261 -4.58301e-66 -1.34565e-65 
0.2406 0.790259 5.20673e-129 0.139595 -0.877937 -8.7722e-66 -7.16225e-65 
0.2425 0.786721 1.42426e-127 0.155472 -0.873241 3.52052e-65 -3.75748e-64 
0.2444 0.783081 4.14326e-126 0.171383 -0.868164 6.37027e-64 -1.93325e-63 
0.2463 0.779331 1.28403e-124 0.187323 -0.862694 5.95703e-63 -9.63933e-63 
0.2482 0.775467 4.24645e-123 0.203283 -0.856821 4.67446e-62 -4.54025e-62 
0.2501 0.77148 1.5011e-121 0.219258 -0.850533 3.37691e-61 -1.89935e-61 
0.252 0.767363 5.68081e-120 0.235239 -0.843816 2.31462e-60 -5.68649e-61 
0.2539 0.763107 2.30504e-118 0.251219 -0.836658 1.51674e-59 6.73813e-61 
0.2558 0.758704 1.00434e-116 0.267187 -0.829045 9.43328e-59 3.38335e-59 
0.2577 0.754143 4.70714e-115 0.283134 -0.820962 5.42109e-58 4.20513e-58 
0.2596 0.749413 2.37802e-113 0.299049 -0.812393 2.67081e-57 4.08008e-57 
0.2615 0.744502 1.29833e-111 0.314919 -0.803323 8.26268e-57 3.50721e-56 
0.2634 0.739397 7.68458e-110 0.33073 -0.793735 -3.71646e-56 2.74708e-55 
0.2653 0.734083 4.94865e-108 0.346468 -0.783609 -1.10338e-54 1.93163e-54 
0.2672 0.728544 3.48102e-106 0.362116 -0.772927 -1.48835e-53 1.1251e-53 
0.2691 0.722762 2.68611e-104 0.377654 -0.761669 -1.59903e-52 3.59484e-53 
0.271 0.716716 2.28395e-102 0.393062 -0.749813 -1.47196e-51 -3.42457e-52 
0.2729 0.710385 2.14994e-100 0.408315 -0.737336 -1.11753e-50 -9.49243e-51 
0.2748 0.703744 2.25144e-98 0.423387 -0.724215 -5.32247e-50 -1.40291e-49 
0.2767 0.696765 2.63632e-96 0.438248 -0.710425 2.79342e-49 -1.59947e-48 
0.2786 0.689417 3.46996e-94 0.452862 -0.69594 1.26068e-47 -1.37137e-47 
0.2805 0.681665 5.16182e-92 0.467191 -0.680733 2.21818e-46 -4.9143e-47 
0.2824 0.673469 8.72681e-90 0.481188 -0.664776 2.67912e-45 1.24463e-45 
0.2843 0.664787 1.68631e-87 0.494803 -0.648041 1.72731e-44 3.72551e-44 
0.2862 0.655569 3.74525e-85 0.507974 -0.6305 -1.94002e-43 5.80421e-43 
0.2881 0.645758 9.61246e-83 0.520633 -0.612127 -8.91409e-42 4.08211e-42 
0.29 0.635294 2.86509e-80 0.532699 -0.592896 -1.51692e-40 -7.5102e-41 
0.2919 0.624108 9.95779e-78 0.54408 -0.572787 -4.46405e-40 -3.12386e-39 
0.2938 0.612124 4.04639e-75 0.554667 -0.551786 5.05469e-38 -3.86187e-38 
0.2957 0.59926 1.92337e-72 0.564337 -0.52989 1.20897e-36 6.79519e-37 
0.2976 0.585432 1.06641e-69 0.572948 -0.507112 -7.27857e-36 3.18344e-35 
0.2995 0.570551 6.84473e-67 0.580339 -0.483485 -8.25098e-34 -6.07085e-35 
0.3014 0.554538 5.01373e-64 0.586333 -0.459077 1.71912e-33 -2.23253e-32 
0.3033 0.537326 4.0946e-61 0.590741 -0.433995 6.19172e-31 1.61513e-31 
0.3052 0.518881 3.60038e-58 0.593371 -0.408402 -1.1162e-29 1.53443e-29 
0.3071 0.499214 3.24638e-55 0.594046 -0.382522 -1.97358e-28 -5.34498e-28 
0.309 0.478409 2.81673e-52 0.592631 -0.356649 1.50103e-26 7.5075e-27 
0.3109 0.456638 2.17749e-49 0.589057 -0.331133 -4.65983e-25 2.46693e-26 
0.3128 0.434166 1.3773e-46 0.583359 -0.306363 1.10783e-23 -3.87308e-24 
0.3147 0.411341 6.54925e-44 0.575684 -0.282718 -2.35442e-22 1.00298e-22 
0.3166 0.388556 2.17534e-41 0.566288 -0.260526 4.48167e-21 -1.29155e-21 
0.3185 0.366201 4.78607e-39 0.55551 -0.240019 -6.91795e-20 5.26651e-22 
0.3204 0.344612 6.78264e-37 0.543719 -0.221317 7.66546e-19 3.01117e-19 
0.3223 0.324045 6.16921e-35 0.531274 -0.204433 -5.3343e-18 -5.76518e-18 
0.3242 0.304661 3.65927e-33 0.518487 -0.189293 1.58411e-17 5.83809e-17 
0.3261 0.28654 1.45698e-31 0.505613 -0.175771 8.28781e-17 -3.72598e-16 
0.328 0.269694 4.03589e-30 0.492841 -0.163712 -1.26693e-15 1.5591e-15 
0.3299 0.25409 8.07794e-29 0.480308 -0.152953 8.04791e-15 -4.00131e-15 
0.3318 0.239666 1.2122e-27 0.468103 -0.14334 -3.47003e-14 2.84392e-15 
0.3337 0.226345 1.41133e-26 0.456282 -0.134726 1.15293e-13 2.86514e-14 
0.3356 0.214041 1.31475e-25 0.444878 -0.126986 -3.16311e-13 -1.77261e-13 
0.3375 0.202672 1.00694e-24 0.433901 -0.120006 7.55618e-13 6.60288e-13 
0.3394 0.192155 6.49226e-24 0.423355 -0.11369 -1.65177e-12 -1.94008e-12 
