# ang_deg abs(r)**2 abs(t)**2 r.real r.imag t.real t.imag
0.1 0.935395 3.29989e-190 -0.77368 -0.580357 -2.00652e-96 -1.80544e-95 
0.10019 0.935263 3.63561e-190 -0.77289 -0.581296 -2.04504e-96 -1.89573e-95 
0.10038 0.935131 4.00625e-190 -0.772098 -0.582234 -2.08248e-96 -1.9907e-95 
0.10057 0.934999 4.41551e-190 -0.771305 -0.583171 -2.11863e-96 -2.0906e-95 
0.10076 0.934867 4.86751e-190 -0.77051 -0.584107 -2.15324e-96 -2.19571e-95 
0.10095 0.934735 5.36679e-190 -0.769714 -0.585042 -2.18605e-96 -2.3063e-95 
0.10114 0.934602 5.91841e-190 -0.768917 -0.585977 -2.21678e-96 -2.42266e-95 
0.10133 0.93447 6.52797e-190 -0.768119 -0.58691 -2.24511e-96 -2.54511e-95 
0.10152 0.934337 7.20168e-190 -0.767319 -0.587843 -2.2707e-96 -2.67397e-95 
0.10171 0.934205 7.94643e-190 -0.766518 -0.588774 -2.29318e-96 -2.8096e-95 
0.1019 0.934072 8.76988e-190 -0.765715 -0.589705 -2.31214e-96 -2.95236e-95 
0.10209 0.933939 9.6805e-190 -0.764912 -0.590635 -2.32716e-96 -3.10263e-95 
0.10228 0.933807 1.06877e-189 -0.764107 -0.591564 -2.33773e-96 -3.26084e-95 
0.10247 0.933674 1.1802e-189 -0.7633 -0.592492 -2.34335e-96 -3.4274e-95 
0.10266 0.933541 1.30349e-189 -0.762492 -0.593419 -2.34346e-96 -3.60277e-95 
0.10285 0.933408 1.43994e-189 -0.761683 -0.594345 -2.33743e-96 -3.78745e-95 
0.10304 0.933275 1.59098e-189 -0.760873 -0.595271 -2.3246e-96 -3.98192e-95 
0.10323 0.933142 1.75819e-189 -0.760061 -0.596195 -2.30425e-96 -4.18674e-95 
0.10342 0.933009 1.94336e-189 -0.759248 -0.597119 -2.2756e-96 -4.40247e-95 
0.10361 0.932876 2.14843e-189 -0.758434 -0.598041 -2.2378e-96 -4.62971e-95 
0.1038 0.932742 2.37561e-189 -0.757618 -0.598963 -2.18994e-96 -4.8691e-95 
0.10399 0.932609 2.62731e-189 -0.756801 -0.599884 -2.13103e-96 -5.1213e-95 
0.10418 0.932475 2.90624e-189 -0.755983 -0.600804 -2.05999e-96 -5.38702e-95 
0.10437 0.932342 3.2154e-189 -0.755163 -0.601723 -1.97566e-96 -5.667e-95 
0.10456 0.932208 3.55813e-189 -0.754343 -0.602641 -1.87679e-96 -5.96206e-95 
0.10475 0.932075 3.93816e-189 -0.75352 -0.603558 -1.76203e-96 -6.273e-95 
0.10494 0.931941 4.35962e-189 -0.752697 -0.604474 -1.62991e-96 -6.60073e-95 
0.10513 0.931807 4.82711e-189 -0.751872 -0.605389 -1.47885e-96 -6.94617e-95 
0.10532 0.931673 5.34578e-189 -0.751046 -0.606303 -1.30716e-96 -7.31031e-95 
0.10551 0.931539 5.92131e-189 -0.750218 -0.607217 -1.11298e-96 -7.6942e-95 
0.1057 0.931405 6.56008e-189 -0.749389 -0.608129 -8.94333e-97 -8.09894e-95 
0.10589 0.931271 7.26917e-189 -0.748559 -0.609041 -6.4908e-97 -8.5257e-95 
